probability_bin,mean_predicted_probability,actual_breach_rate,record_count,model_name
"(-0.000867, 0.00131]",0.000850123046376241,0.0,200,logistic_regression_balanced
"(0.00131, 0.00212]",0.0017240113206216006,0.0,200,logistic_regression_balanced
"(0.00212, 0.00374]",0.002667447962251225,0.0,200,logistic_regression_balanced
"(0.00374, 0.158]",0.09100008697880377,0.0,200,logistic_regression_balanced
"(0.158, 0.227]",0.1951418308572406,0.01,200,logistic_regression_balanced
"(0.227, 0.303]",0.2628953666563372,0.01,200,logistic_regression_balanced
"(0.303, 0.374]",0.3381326714667173,0.005,200,logistic_regression_balanced
"(0.374, 0.447]",0.40981323889532817,0.0,200,logistic_regression_balanced
"(0.447, 0.534]",0.4916786870911726,0.005,200,logistic_regression_balanced
"(0.534, 1.0]",0.6562024203391217,0.025,200,logistic_regression_balanced
"(-0.001, 0.00364]",0.0018193420426399088,0.0,200,random_forest_balanced
"(0.00364, 0.008]",0.005676542934578984,0.0,200,random_forest_balanced
"(0.008, 0.0225]",0.012859649107534041,0.0,200,random_forest_balanced
"(0.0225, 0.0825]",0.059508489703504266,0.005,200,random_forest_balanced
"(0.0825, 0.148]",0.11645954768387597,0.0,200,random_forest_balanced
"(0.148, 0.193]",0.1708836470216502,0.005,200,random_forest_balanced
"(0.193, 0.237]",0.2149148382233013,0.005,200,random_forest_balanced
"(0.237, 0.284]",0.261037579647805,0.01,200,random_forest_balanced
"(0.284, 0.36]",0.3164373438336753,0.0,200,random_forest_balanced
"(0.36, 0.717]",0.44604495629989654,0.03,200,random_forest_balanced
"(-0.0009877, 6.73e-05]",4.6054703677914125e-05,0.0,200,hist_gradient_boosting
"(6.73e-05, 0.000104]",8.481398730648935e-05,0.0,200,hist_gradient_boosting
"(0.000104, 0.000195]",0.00014495697839840292,0.0,200,hist_gradient_boosting
"(0.000195, 0.000462]",0.0003073757437077107,0.005,200,hist_gradient_boosting
"(0.000462, 0.00118]",0.0007931870518985304,0.005,200,hist_gradient_boosting
"(0.00118, 0.00231]",0.00167889026370198,0.005,200,hist_gradient_boosting
"(0.00231, 0.00444]",0.003236657030766243,0.005,200,hist_gradient_boosting
"(0.00444, 0.00877]",0.006362058401162241,0.005,200,hist_gradient_boosting
"(0.00877, 0.0201]",0.013383285396404923,0.005,200,hist_gradient_boosting
"(0.0201, 0.395]",0.052384682570623314,0.025,200,hist_gradient_boosting
"(1.0000000000000026e-05, 0.00206]",0.0018537370670165222,0.0,200,calibrated_logistic_regression
"(0.00206, 0.00227]",0.002172182759850443,0.0,200,calibrated_logistic_regression
"(0.00227, 0.00263]",0.002413774895444778,0.0,200,calibrated_logistic_regression
"(0.00263, 0.00753]",0.005798543326183126,0.0,200,calibrated_logistic_regression
"(0.00753, 0.00913]",0.008346316628340688,0.01,200,calibrated_logistic_regression
"(0.00913, 0.0107]",0.009896529453567372,0.015,200,calibrated_logistic_regression
"(0.0107, 0.0125]",0.011580518170917074,0.0,200,calibrated_logistic_regression
"(0.0125, 0.015]",0.01368627884346929,0.0,200,calibrated_logistic_regression
"(0.015, 0.0183]",0.01661650782604555,0.01,200,calibrated_logistic_regression
"(0.0183, 0.803]",0.03342082583857013,0.02,200,calibrated_logistic_regression
"(0.00451, 0.00586]",0.005728558099976162,0.0,201,calibrated_random_forest
"(0.00586, 0.00615]",0.005987244570596335,0.0,199,calibrated_random_forest
"(0.00615, 0.00661]",0.00635304699546689,0.0,200,calibrated_random_forest
"(0.00661, 0.0076]",0.007038274978528086,0.005,200,calibrated_random_forest
"(0.0076, 0.00954]",0.008438275943049325,0.0,200,calibrated_random_forest
"(0.00954, 0.0115]",0.01050212977650794,0.01,200,calibrated_random_forest
"(0.0115, 0.0138]",0.012513338371473755,0.01,200,calibrated_random_forest
"(0.0138, 0.0171]",0.015380471108520198,0.0,200,calibrated_random_forest
"(0.0171, 0.0234]",0.019850635895276546,0.005,200,calibrated_random_forest
"(0.0234, 0.113]",0.03462847107963057,0.025,200,calibrated_random_forest
"(0.00688, 0.00917]",0.008699021885302433,0.0,200,calibrated_hist_gradient_boosting
"(0.00917, 0.00974]",0.009467022672356456,0.0,200,calibrated_hist_gradient_boosting
"(0.00974, 0.0103]",0.010000465679502133,0.005,200,calibrated_hist_gradient_boosting
"(0.0103, 0.0109]",0.010580180806591892,0.0,200,calibrated_hist_gradient_boosting
"(0.0109, 0.012]",0.01143426553328264,0.0,200,calibrated_hist_gradient_boosting
"(0.012, 0.0133]",0.012647882865834872,0.0,200,calibrated_hist_gradient_boosting
"(0.0133, 0.0146]",0.013951756225949916,0.005,200,calibrated_hist_gradient_boosting
"(0.0146, 0.0168]",0.015646767475515484,0.01,200,calibrated_hist_gradient_boosting
"(0.0168, 0.0196]",0.018217638021958703,0.0,200,calibrated_hist_gradient_boosting
"(0.0196, 0.0938]",0.02640828511220066,0.035,200,calibrated_hist_gradient_boosting
