accepted_time,package_id,courier_id,city,zone_id,task_type,origin_lat,origin_lng,destination_lat,destination_lng,assigned_time,service_window_start_time,pickup_time,completed_time,promised_delivery_time,aoi_id,aoi_type,ds,courier_workload_2h,acceptance_gap_minutes,pickup_gap_minutes,execution_time_minutes,delay_minutes,is_delayed,delay_category,event_sequence_abnormality_score,time_window_violation_score,workload_pressure_score,distance_km,expected_execution_time_minutes,distance_adjusted_execution_ratio,route_execution_instability_score,operational_exception_severity,severity_class,root_cause_label
2024-05-01 10:00:00,P-525446,1005,Yantai,16,pickup,36.78149,121.18032,36.78572,121.1737,2024-05-01 10:00:00,2024-05-01 10:00:00,2024-05-01 11:31:00,2024-05-01 11:31:00,2024-05-01 12:00:00,808,1,501,1,0.0,91.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.7541922558268496,1.810061413984439,0.0,0.0,0.0075,Low,No significant delay
2024-05-02 07:55:00,P-2690511,1005,Yantai,16,pickup,36.7845,121.17377,36.77876,121.1745,2024-05-02 07:55:00,2024-05-03 17:00:00,2024-05-03 11:18:00,2024-05-03 11:18:00,2024-05-03 19:00:00,247,14,503,1,0.0,1643.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.6415614229970291,1.5397474151928698,0.0,0.0,0.0075,Low,No significant delay
2024-05-04 16:51:00,P-4252268,1005,Yantai,16,pickup,36.77271,121.20473,36.7851,121.17923,2024-05-04 16:51:00,2024-05-04 17:00:00,2024-05-04 18:28:00,2024-05-04 18:28:00,2024-05-04 19:00:00,561,14,504,1,0.0,97.0,0.0,0.0,False,On Time,0.0,0.0,0.05,2.6562859838821997,6.375086361317279,0.0,0.0,0.0075,Low,No significant delay
2024-05-05 15:53:00,P-2160960,1005,Yantai,16,pickup,36.78272,121.17465,36.78502,121.1793,2024-05-05 15:53:00,2024-05-05 15:53:00,2024-05-05 15:55:00,2024-05-05 15:55:00,2024-05-05 17:53:00,561,14,505,1,0.0,2.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.486718283027048,1.1681238792649153,0.0,0.0,0.0075,Low,No significant delay
2024-05-06 07:47:00,P-3158567,1005,Yantai,16,pickup,36.7848,121.17431,36.78476,121.17409,2024-05-06 07:47:00,2024-05-06 09:00:00,2024-05-06 10:52:00,2024-05-06 10:52:00,2024-05-06 11:00:00,808,1,506,1,0.0,185.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.25,0.6,0.0,0.0,0.0075,Low,No significant delay
2024-05-06 13:18:00,P-2283407,1005,Yantai,16,pickup,36.78611,121.17345,36.78582,121.17361,2024-05-06 13:18:00,2024-05-06 15:00:00,2024-05-06 15:40:00,2024-05-06 15:40:00,2024-05-06 17:00:00,808,1,506,1,0.0,142.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.25,0.6,0.0,0.0,0.0075,Low,No significant delay
2024-05-10 08:04:00,P-2837928,1005,Yantai,16,pickup,36.76478,121.20822,36.78507,121.17925,2024-05-10 08:04:00,2024-05-10 11:00:00,2024-05-10 10:00:00,2024-05-10 10:00:00,2024-05-10 13:00:00,561,14,510,1,0.0,116.0,0.0,0.0,False,On Time,0.0,0.0,0.05,3.427520998590928,8.226050396618227,0.0,0.0,0.0075,Low,No significant delay
2024-05-10 14:44:00,P-761509,1005,Yantai,16,pickup,36.78255,121.17707,36.78584,121.17377,2024-05-10 14:44:00,2024-05-10 15:00:00,2024-05-10 15:18:00,2024-05-10 15:18:00,2024-05-10 17:00:00,808,1,510,1,0.0,34.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.4692548529529093,1.1262116470869823,0.0,0.0,0.0075,Low,No significant delay
2024-05-11 12:15:00,P-4363126,1005,Yantai,16,pickup,36.7855,121.17943,36.78485,121.17361,2024-05-11 12:15:00,2024-05-11 13:00:00,2024-05-11 12:19:00,2024-05-11 12:19:00,2024-05-11 15:00:00,808,1,511,1,0.0,4.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.5233124159443144,1.2559497982663546,0.0,0.0,0.0075,Low,No significant delay
2024-05-12 08:13:00,P-767670,1005,Yantai,16,pickup,36.7859,121.17372,36.78561,121.17372,2024-05-12 08:13:00,2024-05-12 09:00:00,2024-05-12 10:26:00,2024-05-12 10:26:00,2024-05-12 11:00:00,808,1,512,1,0.0,133.0,0.0,0.0,False,On Time,0.0,0.0,0.05,0.25,0.6,0.0,0.0,0.0075,Low,No significant delay
