package_id,courier_id,city,zone_id,task_type,origin_lat,origin_lng,destination_lat,destination_lng,assigned_time,accepted_time,pickup_time,completed_time,promised_delivery_time,courier_workload_2h,scenario_source,acceptance_gap_minutes,pickup_gap_minutes,execution_time_minutes,delay_minutes,is_delayed,delay_category,event_sequence_abnormality_score,time_window_violation_score,workload_pressure_score,distance_km,expected_execution_time_minutes,distance_adjusted_execution_ratio,route_execution_instability_score,operational_exception_severity,severity_class,root_cause_label
PKG-100000,CR-140,Memphis,Z1,pickup,35.10868269660856,-90.10667393143598,35.085899228187444,-90.01049316085317,2026-01-18 09:37:00,2026-01-18 09:42:00,2026-01-18 09:49:00,2026-01-18 11:01:00,2026-01-18 13:36:00,6,normal,5.0,7.0,72.0,0.0,False,On Time,0.0,0.0,0.3,9.109610627292314,21.863065505501552,3.29322527903885,1.0,0.14500000000000002,Low,Route execution instability
PKG-100001,CR-138,Memphis,Z5,delivery,35.184063138067586,-90.01678800422557,35.13662317135387,-90.0571265525946,2026-01-09 08:48:00,2026-01-09 10:07:00,2026-01-09 11:04:00,2026-01-09 15:11:00,2026-01-09 11:53:00,15,workload_pressure,79.0,57.0,247.0,198.0,True,Moderate Delay,0.0,0.825,0.75,6.424462761996588,15.418710628791812,16.01949773535341,1.0,0.61125,High,Courier acceptance delay
PKG-100002,CR-113,Dallas,Z1,delivery,32.757488368101974,-96.81956329912245,32.751732915596634,-96.83467666124447,2026-01-02 15:34:00,2026-01-02 15:51:00,2026-01-02 15:58:00,2026-01-02 17:53:00,2026-01-02 19:49:00,8,normal,17.0,7.0,115.0,0.0,False,On Time,0.0,0.0,0.4,1.5514628331274638,3.723510799505913,30.88483052479928,1.0,0.16,Low,Route execution instability
PKG-100003,CR-140,Newark,Z3,delivery,40.76843149379439,-74.24506809861509,40.69216372410425,-74.20609792582366,2026-01-03 11:55:00,2026-01-03 12:08:00,2026-01-03 12:27:00,2026-01-03 14:33:00,2026-01-03 16:28:00,3,normal,13.0,19.0,126.0,0.0,False,On Time,0.0,0.0,0.15,9.094129332284918,21.825910397483803,5.7729550660359115,1.0,0.1225,Low,Route execution instability
PKG-100004,CR-123,Dallas,Z2,pickup,32.80899125015337,-96.76763237351413,32.708124401532565,-96.77540347388847,2026-01-18 11:10:00,2026-01-18 12:59:00,2026-01-18 13:44:00,2026-01-18 15:32:00,2026-01-18 14:37:00,10,acceptance_delay,109.0,45.0,108.0,55.0,True,Slight Delay,0.0,0.22916666666666666,0.5,11.239397921568996,26.974555011765588,4.003773183761261,1.0,0.28576388888888893,Medium,Courier acceptance delay
PKG-100005,CR-103,Chicago,Z1,pickup,41.86228636592357,-87.69920982316616,41.944201779869694,-87.61905119176345,2026-01-23 13:13:00,2026-01-23 13:35:00,2026-01-23 17:02:00,2026-01-23 18:40:00,2026-01-23 16:16:00,5,pickup_delay,22.0,207.0,98.0,144.0,True,Moderate Delay,0.0,0.6,0.25,11.268300963876484,27.043922313303565,3.623734710692887,1.0,0.4275,Medium,Pickup/task start delay
PKG-100006,CR-115,Newark,Z5,pickup,40.77522220986436,-74.18385058763286,40.749065267991305,-74.19448056900582,2026-01-05 16:31:00,2026-01-05 16:37:00,2026-01-05 16:45:00,2026-01-05 17:49:00,2026-01-05 22:11:00,3,normal,6.0,8.0,64.0,0.0,False,On Time,0.0,0.0,0.15,3.0431903068372677,7.303656736409442,8.762733834539862,1.0,0.1225,Low,Route execution instability
PKG-100007,CR-127,Newark,Z1,pickup,40.71675908584105,-74.09302057916157,40.74035829521586,-74.09702745958182,2026-01-28 08:43:00,2026-01-28 09:14:00,2026-01-28 09:58:00,2026-01-28 17:10:00,2026-01-28 11:57:00,10,execution_delay,31.0,44.0,432.0,313.0,True,Severe Delay,0.0,1.0,0.5,2.6457447007574286,6.349787281817829,68.03377512141262,1.0,0.7293055555555555,High,Route execution instability
PKG-100008,CR-121,Memphis,Z3,pickup,35.09480524069515,-90.12848074942373,35.18503472980959,-90.01385109297826,2026-01-17 10:32:00,2026-01-17 11:09:00,2026-01-17 11:39:00,,2026-01-17 14:49:00,6,event_inconsistency,37.0,30.0,,999.0,True,Severe Delay,1.0,1.0,0.3,14.467404076498005,34.721769783595214,1.0,0.5,0.8450000000000001,Critical,Event-data inconsistency
PKG-100009,CR-109,Dallas,Z2,delivery,32.792531133513634,-96.79882308671536,32.714598836051344,-96.81892307725104,2026-01-27 12:15:00,2026-01-27 12:38:00,2026-01-27 12:45:00,2026-01-27 13:40:00,2026-01-27 17:19:00,8,normal,23.0,7.0,55.0,0.0,False,On Time,0.0,0.0,0.4,8.867190501499035,21.281257203597683,2.584433780101207,1.0,0.16,Low,Route execution instability
PKG-100010,CR-104,Newark,Z2,delivery,40.76126013163958,-74.1009042112472,40.68212031343586,-74.16797219401307,2026-01-20 14:13:00,2026-01-20 14:47:00,2026-01-20 15:20:00,,2026-01-20 17:08:00,7,event_inconsistency,34.0,33.0,,999.0,True,Severe Delay,1.0,1.0,0.35,10.45870675088589,25.100896202126133,1.0,0.5,0.8525,Critical,Event-data inconsistency
PKG-100011,CR-125,Dallas,Z4,pickup,32.71606067133892,-96.84104842607495,32.75079368994359,-96.78287060504684,2026-01-08 17:14:00,2026-01-08 17:41:00,2026-01-08 18:06:00,2026-01-08 18:58:00,2026-01-08 21:12:00,2,normal,27.0,25.0,52.0,0.0,False,On Time,0.0,0.0,0.1,6.672992850934075,16.015182842241778,3.2469189089021433,1.0,0.115,Low,Route execution instability
